cluster,violation_count,lat_center,lon_center,lat_std,lon_std,unique_vehicles,peak_violations,dominant_hour,dominant_day,dominant_type,peak_ratio,spread_m,hotspot_score,rank,road_name,highway_type,road_capacity_factor
2,23034,12.973246191113612,77.57758568088747,0.0054631019773068,0.0024586445816949,19713,5274,3,Thursday,['WRONG PARKING'],0.2289658765303464,664.9855790804398,28308.0,1,Hospital Road,residential,0.45
3,9865,12.981960632372944,77.60781752064864,0.0014788155590364,0.0029778829612306,8124,1237,5,Sunday,['WRONG PARKING'],0.1253928028383172,369.05926584753104,11102.0,2,Dispensary Road,residential,0.35
27,7042,13.004680159149752,77.55174173471737,0.0055501106366043,0.0024988349621226,6141,795,2,Sunday,['WRONG PARKING'],0.1128940641863107,675.6235847132795,7837.0,3,10th Cross Road,primary,0.82
38,3240,13.002857808487654,77.57066617771605,0.0047234841727358,0.000969831449027,2959,261,3,Thursday,['WRONG PARKING'],0.0805555555555555,535.2442072151124,3501.0,4,Sri Venkataranga Ayangar Road,secondary,0.7
8,2948,12.93378785992413,77.69090073424664,0.0011201906711282,0.001003529403498,1967,335,23,Thursday,['NO PARKING'],0.1136363636363636,166.93966044022324,3282.9999999999995,5,New Horizon College Road,tertiary,0.55
24,2146,12.96692104646727,77.53782886442603,0.002719288184575,0.0014465500363032,1939,475,5,Saturday,['WRONG PARKING'],0.2213420316868593,341.89144647252454,2621.0,6,1st Cross Road,secondary,0.7
19,1685,13.185395411157272,77.68011042658755,0.0019152707648624,0.000716377071931,1614,624,23,Friday,['NO PARKING'],0.3703264094955489,226.97961721073668,2309.0,7,Unnamed Road,tertiary,0.55
59,2095,12.974358655513129,77.54561302863962,0.000361798993909,0.0009126172110202,1464,208,3,Tuesday,['WRONG PARKING'],0.0992840095465393,108.97061061718894,2303.0,8,Chord Road,residential,0.35
16,1605,12.992328716048092,77.5888533887126,0.001200848874252,0.0004511448883563,886,435,22,Wednesday,['WRONG PARKING'],0.2710280373831775,142.3905356125412,2040.0,9,12th Main Road,primary,0.75
15,1809,12.942040762004206,77.69758692936601,0.0045034427995928,0.002080676413162,1740,202,2,Thursday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.1116639027086788,550.6563488062806,2011.0,10,Outer Ring Road,trunk,0.95
6,1178,13.008523915237692,77.69533863918507,0.0007558602761482,0.0011996401419236,1079,689,19,Wednesday,['WRONG PARKING'],0.5848896434634975,157.38771483189265,1867.0,11,MBT Road,secondary,0.7
63,1080,12.973605440462965,77.55108948064814,0.0003315162876992,0.000411080137387,1028,280,6,Friday,['NO PARKING'],0.2592592592592592,58.61913345805843,1360.0,12,1st Cross Road,secondary,0.7
13,1051,12.969669190185993,77.64408688752366,0.0014756710065687,0.0036828317066592,992,287,2,Sunday,['NO PARKING'],0.2730732635585157,440.3896749703276,1337.9999999999998,13,5th Cross Road,secondary,0.73
22,1168,12.973412469940229,77.618063937367,0.0008586829728055,0.0033401481518612,1022,163,23,Wednesday,['NO PARKING'],0.1395547945205479,382.812047584548,1331.0,14,Mahatma Gandhi Road,residential,0.35
115,1211,12.963451297322424,77.71733895232805,0.0028104712148261,0.0010020461539319,1137,82,23,Tuesday,['WRONG PARKING'],0.0677126341866226,331.1977544530269,1293.0,15,ITPL Main Road,primary,0.85
31,941,12.959454621253984,77.5770993957492,0.0011167623018082,0.0007184731454276,861,206,23,Wednesday,['WRONG PARKING'],0.2189160467587672,147.39870928474917,1147.0,16,Tippu Sultan Palace Road,tertiary,0.55
46,948,13.035314523628692,77.58902232183544,0.0005014363991552,0.000220776460925,826,172,23,Wednesday,['NO PARKING'],0.1814345991561181,60.81551203809476,1120.0,17,Bellary Road,primary,0.85
104,866,12.944189546786957,77.57128490067838,0.0011750064564966,0.0006519761674199,814,201,5,Thursday,['WRONG PARKING'],0.2321016166281755,149.1582751711294,1067.0,18,Sri DV Gundappa Road,secondary,0.7
201,740,13.000305781059666,77.6769637904024,0.0003913435644288,0.0007168868358368,693,296,1,Friday,['WRONG PARKING'],0.4,90.6589753580613,1036.0,19,Outer Ring Road,trunk,0.95
79,706,12.95313900188812,77.54218756858285,0.0007934783515058,0.0012250624707038,682,270,19,Saturday,['WRONG PARKING'],0.3824362606232294,162.01384295064315,976.0,20,Mysore Road,primary,0.85
126,929,12.98129196964478,77.59844532744887,0.0004009877995822,0.000486513640851,569,37,23,Thursday,['WRONG PARKING'],0.0398277717976318,69.98166974802479,966.0,21,Cunningham Road,residential,0.35
152,823,13.071052277399756,77.58793200243014,0.0006187712689357,0.0004787764183134,750,80,6,Monday,['WRONG PARKING'],0.0972053462940461,86.84320656275072,903.0,22,Sahakar Nagar Road,residential,0.35
195,727,12.971744540102062,77.65810091307173,0.0001856179946753,0.0001206878906051,576,138,2,Thursday,['NO PARKING'],0.1898211829436038,24.575812833813416,865.0,23,Pusa Thippasandra Main Road,primary,0.85
21,732,12.957875610944496,77.70160903316963,0.0013199543783825,0.0009928111455144,677,116,22,Thursday,['NO PARKING'],0.1584699453551912,183.33334520401047,848.0,24,1st Main Road,primary,0.82
84,706,12.975717607071124,77.5596867505391,8.350254568534556e-05,0.0012174247633619,661,139,23,Friday,['WRONG PARKING'],0.1968838526912181,135.45164629561015,845.0000000000001,25,G Narayana Kumar Road,tertiary,0.61
36,549,12.993311715996958,77.55352118157741,0.0009470780805953,0.0009314973923148,396,290,21,Wednesday,['WRONG PARKING'],0.5282331511839709,147.45230485253927,839.0,26,P&T Road,residential,0.35
124,610,12.996217117208216,77.66851638457334,0.0004417836437001,0.0007610897336998,558,208,4,Wednesday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.340983606557377,97.68191539875174,818.0,27,MBT Road,residential,0.35
14,592,13.00571913557498,77.68583349684478,0.0005246961774735,0.0009491056996715,574,225,5,Tuesday,['WRONG PARKING'],0.3800675675675675,120.37783462024242,817.0,28,MBT Road,residential,0.35
167,565,12.971447179483894,77.60705192115635,0.0018900390279954,0.0005104790221905,483,234,21,Thursday,['NO PARKING'],0.4141592920353982,217.3117042054854,799.0,29,Unknown,residential,0.39
45,507,12.841981707889548,77.64565966331362,0.000493407230426,0.0011108418503782,484,264,7,Sunday,['WRONG PARKING'],0.5207100591715976,134.91958960463222,771.0,30,Neeladri Road,residential,0.39
7,451,12.912469580501892,77.63468376384269,0.0001403788317102,0.001001098692921,441,275,9,Sunday,['WRONG PARKING'],0.6097560975609756,112.20913134023806,726.0,31,17th Cross Road,secondary,0.7
80,648,12.929205196450615,77.5818610191358,0.0014171156257104,0.0013647905312614,559,76,3,Sunday,['NO PARKING'],0.1172839506172839,218.38724304594115,724.0,32,7th Main Road,primary,0.75
117,687,12.962035340611353,77.59815529199417,0.000376293958692,0.0012382312923628,504,36,22,Wednesday,['NO PARKING'],0.0524017467248908,143.6502063181541,722.9999999999999,33,Cronwell Road,residential,0.35
157,559,12.977027192307691,77.57076778783541,0.0009555970748471,0.0001618727701731,544,159,2,Saturday,['NO PARKING'],0.2844364937388193,107.58234086940232,718.0,34,Rao Bahadur DGT Road,secondary,0.67
